school_id,student_id,sch_yr,grade,enrolled,attended,F/R.Lunch,ell,reading,math
1010,926210,2016,K,168,146,0,N,221,154
1044,727028,2016,1st,150,136,1,N,,
1018,794436,2016,1st,156,155,0,N,169,186
1018,727683,2016,3rd,163,150,0,N,,
1019,725142,2016,1st,151,149,0,N,,
1033,928914,2016,K,168,129,0,N,,
1031,669856,2016,3rd,130,128,0,Y,163,139
1029,837746,2016,3rd,140,135,1,Y,,
1012,790412,2016,3rd,147,133,1,N,212,110
1014,927091,2016,K,167,131,1,N,214,216
1029,724953,2016,2nd,149,147,0,N,,
1022,923096,2016,K,162,144,0,N,218,144
1031,557784,2016,3rd,168,166,0,Y,213,182
1025,668318,2016,2nd,175,132,0,N,178,165
1031,689889,2016,3rd,169,158,0,N,190,166
1021,580222,2016,1st,177,170,1,Y,172,133
1013,329332,2016,3rd,147,134,0,Y,234,205
1023,746038,2016,1st,165,156,1,N,187,110
1033,922389,2016,K,134,132,1,N,183,156
1016,920972,2016,K,168,152,0,N,145,154
1031,827210,2016,3rd,163,163,1,N,,
1031,559517,2016,3rd,156,139,1,N,212,136
1018,289881,2016,2nd,178,138,0,N,240,206
1025,557895,2016,3rd,182,149,1,Y,232,134
1034,144886,2016,1st,165,160,1,N,240,193
1017,927788,2016,K,167,131,0,N,189,124
1028,358817,2016,2nd,157,155,1,N,209,186
1020,230977,2016,3rd,170,144,0,N,141,217
1016,580928,2016,3rd,160,148,0,N,172,123
1058,730730,2016,2nd,159,159,1,Y,,
1016,791661,2016,2nd,151,151,0,N,130,121
1021,923965,2016,K,167,160,0,Y,196,193
1014,538602,2016,3rd,168,140,0,Y,236,132
1021,458830,2016,1st,146,135,0,N,130,160
1016,374197,2016,1st,155,136,0,N,124,165
1027,229971,2016,1st,166,156,1,N,180,178
1029,412840,2016,2nd,166,162,1,Y,,
1019,274338,2016,1st,171,159,1,N,228,217
1028,208886,2016,3rd,134,132,0,N,154,115
1016,180853,2016,2nd,138,137,0,N,187,201
1057,802139,2016,2nd,145,131,1,N,194,136
1019,528075,2016,3rd,158,156,1,N,143,208
1023,708705,2016,3rd,174,138,1,N,215,200
1023,379355,2016,2nd,179,132,1,N,236,184
1021,309170,2016,3rd,172,136,1,N,126,201
1024,738908,2016,2nd,149,138,0,Y,,
1012,923901,2016,K,150,136,1,Y,222,152
1025,566892,2016,3rd,136,134,1,N,218,195
1013,923962,2016,K,175,137,0,N,195,138
1025,926689,2016,K,148,146,1,N,239,135
1029,926765,2016,K,179,157,0,N,209,131
1016,929966,2016,K,166,134,0,N,131,205
1025,452526,2016,2nd,160,149,1,N,212,133
1021,924540,2016,K,151,140,0,N,171,172
1030,188365,2016,2nd,158,146,0,Y,197,110
1031,794458,2016,1st,182,132,1,N,136,169
1017,607197,2016,1st,154,142,0,Y,121,114
1019,691905,2016,1st,170,170,0,N,191,209
1029,577361,2016,2nd,136,134,1,N,131,201
1018,830516,2016,1st,175,161,1,N,,
1035,825681,2016,1st,178,138,0,N,129,184
1022,783876,2016,3rd,164,136,0,Y,223,152
1010,278646,2016,2nd,178,139,1,N,132,146
1023,256768,2016,1st,150,133,0,N,175,201
1023,376971,2016,3rd,163,151,0,N,175,172
1026,381186,2016,3rd,154,130,0,Y,122,220
1013,766740,2016,K,181,175,1,N,122,139
1018,802224,2016,3rd,176,129,0,N,186,126
1015,645392,2016,3rd,180,179,1,N,232,188
1014,824155,2016,3rd,148,133,1,Y,,
1060,311095,2016,1st,163,160,0,N,129,162
1014,278287,2016,3rd,160,132,0,Y,225,172
1011,332850,2016,2nd,146,144,1,N,169,149
1014,495150,2016,K,159,136,0,N,127,170
1026,651439,2016,3rd,170,145,0,N,191,210
1014,272908,2016,3rd,170,168,0,N,165,118
1024,922186,2016,K,178,178,0,N,204,125
1027,293290,2016,1st,180,128,0,N,133,147
1010,922402,2016,K,172,156,0,N,178,174
