school_id,student_id,sch_yr,grade,frl,ell,math,reading,enrolled,attended
1031,170063,2017,2nd,0,N,191,198,170,145
1030,944525,2017,1st,0,N,138,166,177,129
1016,720805,2017,3rd,0,Y,128,205,132,130
1030,444335,2017,3rd,0,Y,158,217,160,157
1018,934342,2017,K,0,Y,,,143,140
1012,948023,2017,1st,0,N,177,145,157,136
1021,944211,2017,1st,0,N,132,149,166,128
1014,878723,2017,2nd,1,N,206,234,162,148
1028,884155,2017,3rd,0,N,211,209,165,132
1030,748502,2017,3rd,1,N,121,146,164,151
1041,814899,2017,4th,1,Y,174,197,146,143
1029,942564,2017,1st,0,N,170,213,182,146
1031,486326,2017,2nd,0,N,195,152,181,157
1014,867208,2017,1st,1,N,,,163,138
1027,949112,2017,1st,1,N,153,131,182,178
1028,818735,2017,3rd,0,N,163,183,182,165
1039,949606,2017,1st,0,N,193,240,176,167
1014,281438,2017,2nd,0,N,175,185,173,135
1026,890081,2017,3rd,0,Y,198,172,166,145
1024,934188,2017,K,1,N,194,233,173,150
1010,945436,2017,1st,1,Y,144,186,168,166
1016,330944,2017,2nd,0,Y,213,132,137,130
1030,226942,2017,2nd,0,N,121,184,136,135
1042,934882,2017,K,1,N,143,163,170,164
1012,130627,2017,2nd,1,N,172,157,176,128
1020,327551,2017,1st,1,Y,199,193,179,148
1018,945503,2017,1st,1,N,206,166,155,134
1033,481936,2017,3rd,0,Y,128,140,175,138
1029,949173,2017,1st,1,N,183,207,177,147
1036,136738,2017,3rd,0,N,205,161,175,152
1013,939824,2017,K,1,N,194,208,165,143
1016,942793,2017,1st,1,N,,,175,162
1025,409684,2017,4th,0,N,161,190,160,142
1010,353004,2017,2nd,0,N,,,165,132
1029,758847,2017,2nd,0,Y,192,202,153,134
1028,120671,2017,3rd,0,Y,201,224,169,133
1011,944250,2017,1st,1,Y,147,209,175,130
1019,431527,2017,4th,1,N,139,156,177,154
1029,949933,2017,1st,0,N,159,144,159,151
1015,893849,2017,2nd,0,Y,137,179,173,144
1011,209206,2017,3rd,1,N,155,153,144,137
1018,733584,2017,2nd,0,N,176,187,172,138
1018,948148,2017,1st,0,N,181,162,170,162
1029,746402,2017,4th,1,Y,193,169,175,148
1030,191290,2017,1st,0,Y,,,145,141
1017,267396,2017,2nd,0,Y,161,132,155,130
1024,472932,2017,2nd,0,Y,184,170,181,163
1013,172683,2017,2nd,1,N,139,205,176,144
1014,495150,2017,1st,0,Y,177,161,164,162
