"","X.1","X","name","chamber","party","state","district","trump_score","trump_margin","predicted_score","trump_plus_minus"
"1",1,1,"David G. Valadao","House"," R","CA","21",1,-0.155,0.296,0.704
"2",2,2,"Carlos Curbelo","House"," R","FL","26",0.935,-0.161,0.284,0.652
"3",3,3,"Erik Paulsen","House"," R","MN","3",1,-0.094,0.428,0.572
"4",4,4,"Barbara Comstock","House"," R","VA","10",0.97,-0.1,0.413,0.556
"5",5,5,"Darrell E. Issa","House"," R","CA","49",1,-0.075,0.478,0.522
"6",6,6,"Edward R. Royce","House"," R","CA","39",0.97,-0.086,0.449,0.521
"7",7,7,"Ileana Ros-Lehtinen","House"," R","FL","27",0.75,-0.197,0.239,0.511
"8",8,8,"Stephen Knight","House"," R","CA","25",1,-0.067,0.5,0.5
"9",9,9,"Mike Coffman","House"," R","CO","6",0.939,-0.089,0.441,0.498
"10",10,10,"Peter J. Roskam","House"," R","IL","6",0.97,-0.07,0.492,0.478
"11",11,11,"Mimi Walters","House"," R","CA","45",1,-0.054,0.536,0.464
"12",12,12,"Henry Cuellar","House"," D","TX","28",0.697,-0.198,0.234,0.463
"13",13,13,"Martha McSally","House"," R","AZ","2",1,-0.049,0.55,0.45
"14",14,14,"Jeff Denham","House"," R","CA","10",1,-0.03,0.604,0.396
"15",15,15,"Will Hurd","House"," R","TX","23",0.97,-0.034,0.593,0.377
"16",16,16,"Pete Sessions","House"," R","TX","32",1,-0.019,0.631,0.369
"17",17,17,"John Abney Culberson","House"," R","TX","7",1,-0.014,0.649,0.351
"18",18,18,"John Katko","House"," R","NY","24",0.909,-0.036,0.587,0.322
"19",19,19,"Kevin Yoder","House"," R","KS","3",0.97,-0.012,0.654,0.316
"20",20,20,"Dana Rohrabacher","House"," R","CA","48",0.939,-0.017,0.64,0.299
"21",21,21,"Rodney P. Frelinghuysen","House"," R","NJ","11",1,0.009,0.71,0.29
"22",22,22,"Leonard Lance","House"," R","NJ","7",0.939,-0.011,0.657,0.283
"23",23,23,"David G. Reichert","House"," R","WA","8",0.875,-0.03,0.607,0.268
"24",24,24,"Ryan A. Costello","House"," R","PA","6",0.938,-0.006,0.673,0.265
"25",25,25,"Don Bacon","House"," R","NE","2",1,0.022,0.742,0.258
"26",26,26,"Patrick Meehan","House"," R","PA","7",0.879,-0.023,0.624,0.255
"27",27,27,"Jason Lewis","House"," R","MN","2",0.969,0.012,0.717,0.252
"28",28,28,"Paul D. Ryan*","House"," R","WI","1",1,0.103,0.754,0.246
"29",29,29,"Mario Diaz-Balart","House"," R","FL","25",0.97,0.017,0.73,0.24
"30",30,30,"Scott Taylor","House"," R","VA","2",1,0.034,0.773,0.227
"31",31,31,"David Young","House"," R","IA","3",1,0.035,0.773,0.227
"32",32,32,"Jim Costa","House"," D","CA","16",0.452,-0.216,0.225,0.227
"33",33,33,"Kyrsten Sinema","House"," D","AZ","9",0.484,-0.163,0.265,0.219
"34",34,34,"David A. Trott","House"," R","MI","11",1,0.044,0.793,0.207
"35",35,35,"Rod Blum","House"," R","IA","1",0.97,0.035,0.773,0.197
"36",36,36,"Randy Hultgren","House"," R","IL","14",0.97,0.039,0.782,0.188
"37",37,37,"Rob Woodall","House"," R","GA","7",1,0.063,0.83,0.17
"38",38,38,"Mike Bishop","House"," R","MI","8",1,0.067,0.838,0.162
"39",39,39,"Lloyd Smucker","House"," R","PA","16",1,0.068,0.839,0.161
"40",40,40,"Rodney Davis","House"," R","IL","13",0.97,0.055,0.815,0.155
"41",41,41,"Kenny Marchant","House"," R","TX","24",0.97,0.062,0.828,0.141
"42",42,42,"Dave Brat","House"," R","VA","7",0.969,0.065,0.831,0.138
"43",43,43,"Fred Upton","House"," R","MI","6",1,0.084,0.866,0.134
"44",44,44,"Steve Chabot","House"," R","OH","1",0.97,0.066,0.836,0.134
"45",45,45,"Mia B. Love","House"," R","UT","4",0.97,0.067,0.838,0.132
"46",46,46,"Michael T. McCaul","House"," R","TX","10",1,0.091,0.877,0.123
"47",47,47,"Michael R. Turner","House"," R","OH","10",0.97,0.073,0.848,0.122
"48",48,48,"Devin Nunes","House"," R","CA","22",1,0.095,0.883,0.117
"49",49,49,"Pete Olson","House"," R","TX","22",0.969,0.079,0.856,0.113
"50",50,50,"Dennis A. Ross","House"," R","FL","15",1,0.1,0.889,0.111
"51",51,51,"Thomas MacArthur","House"," R","NJ","3",0.939,0.062,0.828,0.111
