zip,city,state,latitude,longitude
20101,Dulles,VA,39.002125,-77.442066
20102,Dulles,VA,39.085309,-77.645224
20103,Dulles,VA,38.996242,-77.449952
20104,Dulles,VA,39.085309,-77.645224
20105,Aldie,VA,38.964054,-77.60878
20106,Amissville,VA,38.683116,-77.99031
20107,Arcola,VA,38.968321,-77.533263
20108,Manassas,VA,38.744685,-77.487162
20109,Manassas,VA,38.790202,-77.51294
20110,Manassas,VA,38.752269,-77.47694
20111,Manassas,VA,38.769697,-77.44915
20112,Manassas,VA,38.685117,-77.44796
20113,Manassas,VA,38.770864,-77.449443
20115,Marshall,VA,38.855848,-77.88174
20116,Marshall,VA,38.853723,-77.860127
20117,Middleburg,VA,38.983902,-77.74903
20118,Middleburg,VA,38.953454,-77.74996
20119,Catlett,VA,38.639283,-77.63866
20120,Centreville,VA,38.851221,-77.44998
20121,Centreville,VA,38.82571,-77.43964
20122,Centreville,VA,38.831813,-77.288755
20124,Clifton,VA,38.797424,-77.39237
20128,Orlean,VA,38.741639,-77.977432
20129,Paeonian Springs,VA,39.149032,-77.61471
20130,Paris,VA,39.008532,-77.94907
20131,Philomont,VA,39.057952,-77.743423
20132,Purcellville,VA,39.146479,-77.72798
20134,Purcellville,VA,39.152187,-77.702576
20135,Bluemont,VA,39.080229,-77.87192
20136,Bristow,VA,38.7475,-77.56917
20137,Broad Run,VA,38.810629,-77.7057
20138,Calverton,VA,38.630238,-77.67295
20139,Casanova,VA,38.651558,-77.70361
20140,Rectortown,VA,38.918124,-77.87243
20141,Round Hill,VA,39.119917,-77.77328
20142,Round Hill,VA,39.130665,-77.774665
20143,Catharpin,VA,38.858613,-77.56391
20144,Delaplane,VA,38.918435,-77.9255
20146,Ashburn,VA,39.085309,-77.645224
20147,Ashburn,VA,39.041978,-77.49064
20148,Ashburn,VA,39.020637,-77.52276
20149,Ashburn,VA,39.085309,-77.645224
20151,Chantilly,VA,38.889111,-77.4363
20152,Chantilly,VA,38.90371,-77.5038
20153,Chantilly,VA,38.831813,-77.288755
20155,Gainesville,VA,38.803732,-77.62404
20156,Gainesville,VA,38.721912,-77.466897
20158,Hamilton,VA,39.137667,-77.66186
20159,Hamilton,VA,39.133855,-77.662072
20160,Lincoln,VA,39.098479,-77.688338
20163,Sterling,VA,39.085309,-77.645224
20164,Sterling,VA,39.011909,-77.39295
20165,Sterling,VA,39.044855,-77.38701
20166,Sterling,VA,39.004276,-77.43442
20167,Sterling,VA,39.085309,-77.645224
20168,Haymarket,VA,38.721912,-77.466897
20169,Haymarket,VA,38.860551,-77.64947
20170,Herndon,VA,38.977109,-77.38527
20171,Herndon,VA,38.931479,-77.40085
20172,Herndon,VA,38.831813,-77.288755
20175,Leesburg,VA,39.080037,-77.58025
20176,Leesburg,VA,39.138978,-77.54519
20177,Leesburg,VA,39.158095,-77.666863
20178,Leesburg,VA,39.072918,-77.608014
20180,Lovettsville,VA,39.261906,-77.64239
20181,Nokesville,VA,38.69835,-77.57365
20182,Nokesville,VA,38.700866,-77.585708
20184,Upperville,VA,38.997904,-77.87487
20185,Upperville,VA,38.992978,-77.879855
20186,Warrenton,VA,38.707135,-77.8145
20187,Warrenton,VA,38.735202,-77.73717
20188,Warrenton,VA,38.765619,-77.820293
20189,Dulles,VA,38.9,-77.04
20190,Reston,VA,38.959673,-77.3462
20191,Reston,VA,38.934709,-77.3469
20192,Herndon,VA,38.831813,-77.288755
20193,Reston,VA,38.831813,-77.288755
20194,Reston,VA,38.977362,-77.34658
