GEO_ID,NAME,DP02_0001E,DP02_0059PE,DP02_0151E,DP02_0151M,DP02_0151PE,DP02_0151PM,DP02_0152E,DP02_0152M,DP02_0152PE,DP02_0152PM
0500000US19001,"Adair County, Iowa",3136,2.1,2673,116,85.2,2.2,2257,123,72.0,3.0
0500000US19003,"Adams County, Iowa",1641,2.1,1363,87,83.1,2.8,1187,94,72.3,4.0
0500000US19005,"Allamakee County, Iowa",5957,6.5,4788,230,80.4,2.8,4204,211,70.6,2.9
0500000US19007,"Appanoose County, Iowa",5416,3.1,4449,203,82.1,2.3,3659,202,67.6,3.0
0500000US19009,"Audubon County, Iowa",2677,2.8,2201,93,82.2,2.5,1893,102,70.7,3.3
0500000US19011,"Benton County, Iowa",10224,1.7,8930,213,87.3,1.5,7851,234,76.8,1.8
0500000US19013,"Black Hawk County, Iowa",52976,3.2,46150,664,87.1,0.7,41879,695,79.1,1.0
0500000US19015,"Boone County, Iowa",10940,1.8,9826,275,89.8,1.5,8579,283,78.4,2.0
0500000US19017,"Bremer County, Iowa",9585,1.8,8379,243,87.4,1.6,7640,230,79.7,1.7
0500000US19019,"Buchanan County, Iowa",8046,3.2,6842,208,85.0,1.5,6180,228,76.8,2.0
0500000US19021,"Buena Vista County, Iowa",7550,13.4,6642,172,88.0,1.7,5943,201,78.7,2.4
0500000US19023,"Butler County, Iowa",6251,2.3,5117,115,81.9,1.8,4548,132,72.8,2.1
0500000US19025,"Calhoun County, Iowa",4191,2.2,3571,205,85.2,1.8,3180,204,75.9,2.4
0500000US19027,"Carroll County, Iowa",8674,3.6,7239,201,83.5,1.8,6649,214,76.7,1.8
0500000US19029,"Cass County, Iowa",5964,3.6,5040,153,84.5,2.2,4302,211,72.1,3.5
0500000US19031,"Cedar County, Iowa",7546,1.9,6519,226,86.4,1.9,5912,244,78.3,2.7
0500000US19033,"Cerro Gordo County, Iowa",19213,2.1,16368,431,85.2,1.5,14713,452,76.6,1.7
0500000US19035,"Cherokee County, Iowa",5337,1.4,4536,197,85.0,2.7,4283,194,80.3,2.7
0500000US19037,"Chickasaw County, Iowa",5191,3.6,4305,140,82.9,2.0,3858,140,74.3,2.2
0500000US19039,"Clarke County, Iowa",3854,4.8,3360,130,87.2,2.5,2936,178,76.2,3.9
0500000US19041,"Clay County, Iowa",7343,2.5,6495,245,88.5,2.4,5720,271,77.9,3.4
0500000US19043,"Clayton County, Iowa",7652,3.4,6086,143,79.5,1.7,5499,171,71.9,2.2
0500000US19045,"Clinton County, Iowa",19689,2.8,16259,379,82.6,1.7,14941,348,75.9,1.6
0500000US19047,"Crawford County, Iowa",6435,10.7,5280,270,82.1,2.5,4727,280,73.5,3.1
0500000US19049,"Dallas County, Iowa",32886,2.4,31035,487,94.4,0.7,28935,553,88.0,1.1
0500000US19051,"Davis County, Iowa",3215,14.8,2308,168,71.8,4.5,2020,170,62.8,4.6
0500000US19053,"Decatur County, Iowa",3213,3.8,2571,161,80.0,3.2,2239,162,69.7,3.6
0500000US19055,"Delaware County, Iowa",6939,3.4,5926,207,85.4,2.0,5215,213,75.2,2.6
0500000US19057,"Des Moines County, Iowa",16840,2.2,14220,347,84.4,1.5,12620,379,74.9,2.0
0500000US19059,"Dickinson County, Iowa",8069,1.1,7229,270,89.6,1.7,6556,257,81.2,2.3
0500000US19061,"Dubuque County, Iowa",38330,2.3,33911,480,88.5,0.7,31079,505,81.1,0.9
0500000US19063,"Emmet County, Iowa",4110,3.4,3440,184,83.7,2.6,2990,199,72.7,3.4
0500000US19065,"Fayette County, Iowa",8315,2.7,6952,208,83.6,1.6,6145,217,73.9,2.1
0500000US19067,"Floyd County, Iowa",6759,4.4,5499,210,81.4,2.4,4980,261,73.7,3.1
0500000US19069,"Franklin County, Iowa",4200,3.1,3261,142,77.6,3.0,2832,153,67.4,3.5
0500000US19071,"Fremont County, Iowa",2990,2.5,2565,119,85.8,2.0,2241,115,74.9,2.5
0500000US19073,"Greene County, Iowa",3889,1.4,3376,155,86.8,2.1,2887,183,74.2,3.3
0500000US19075,"Grundy County, Iowa",5137,2.0,4409,106,85.8,1.6,4071,119,79.2,2.1
0500000US19077,"Guthrie County, Iowa",4397,2.3,3697,141,84.1,2.0,3258,157,74.1,2.6
0500000US19079,"Hamilton County, Iowa",6315,2.5,5309,219,84.1,2.5,4697,261,74.4,3.4
0500000US19081,"Hancock County, Iowa",4766,2.3,3988,203,83.7,2.6,3569,206,74.9,2.9
0500000US19083,"Hardin County, Iowa",7175,3.7,5865,230,81.7,2.2,5120,230,71.4,2.3
0500000US19085,"Harrison County, Iowa",6076,2.0,5105,157,84.0,1.8,4332,162,71.3,2.1
0500000US19087,"Henry County, Iowa",7714,2.2,6596,233,85.5,2.0,5745,223,74.5,2.3
0500000US19089,"Howard County, Iowa",3868,4.6,3188,167,82.4,3.0,2831,157,73.2,3.4
0500000US19091,"Humboldt County, Iowa",4221,2.6,3481,135,82.5,2.2,3166,144,75.0,2.6
0500000US19093,"Ida County, Iowa",3010,1.6,2481,109,82.4,2.1,2231,96,74.1,2.8
0500000US19095,"Iowa County, Iowa",6791,2.0,5935,165,87.4,1.8,5014,219,73.8,3.0
0500000US19097,"Jackson County, Iowa",8236,3.5,6737,257,81.8,2.3,6185,267,75.1,2.3
0500000US19099,"Jasper County, Iowa",14548,2.0,12528,344,86.1,1.6,11115,375,76.4,2.1
0500000US19101,"Jefferson County, Iowa",6831,1.5,5893,267,86.3,2.5,5254,311,76.9,3.4
0500000US19103,"Johnson County, Iowa",58163,2.6,54913,689,94.4,0.6,51036,797,87.7,1.0
0500000US19105,"Jones County, Iowa",8204,3.0,6799,209,82.9,2.1,6104,217,74.4,2.4
0500000US19107,"Keokuk County, Iowa",4384,1.9,3579,125,81.6,2.2,3218,115,73.4,2.1
0500000US19109,"Kossuth County, Iowa",6666,1.6,5662,159,84.9,1.7,5021,185,75.3,2.2
0500000US19111,"Lee County, Iowa",14177,1.7,11895,322,83.9,1.4,10254,298,72.3,1.7
0500000US19113,"Linn County, Iowa",89807,1.7,80999,833,90.2,0.7,74321,866,82.8,0.8
0500000US19115,"Louisa County, Iowa",4343,7.1,3591,138,82.7,2.3,3301,134,76.0,2.6
0500000US19117,"Lucas County, Iowa",3642,2.1,3090,172,84.8,2.8,2704,174,74.2,3.4
0500000US19119,"Lyon County, Iowa",4549,4.6,4034,141,88.7,1.8,3655,155,80.3,2.8
0500000US19121,"Madison County, Iowa",6309,2.4,5558,195,88.1,2.1,5013,201,79.5,2.8
0500000US19123,"Mahaska County, Iowa",8829,3.3,7598,213,86.1,1.6,6913,236,78.3,1.9
0500000US19125,"Marion County, Iowa",13314,2.9,11433,292,85.9,1.9,10112,342,76.0,2.4
0500000US19127,"Marshall County, Iowa",15338,9.1,13130,291,85.6,1.5,11204,345,73.0,2.1
0500000US19129,"Mills County, Iowa",5587,1.7,4938,183,88.4,2.4,4491,181,80.4,2.4
0500000US19131,"Mitchell County, Iowa",4397,5.9,3613,186,82.2,2.6,3360,175,76.4,2.4
0500000US19133,"Monona County, Iowa",4053,3.1,3360,177,82.9,2.8,2984,167,73.6,3.0
0500000US19135,"Monroe County, Iowa",3329,5.4,2861,148,85.9,3.2,2358,193,70.8,5.2
0500000US19137,"Montgomery County, Iowa",4587,3.0,3973,261,86.6,2.5,3516,245,76.7,3.4
0500000US19139,"Muscatine County, Iowa",16536,5.4,14059,405,85.0,1.9,12579,410,76.1,2.0
0500000US19141,"O'Brien County, Iowa",6031,3.6,5146,244,85.3,2.7,4587,247,76.1,3.4
0500000US19143,"Osceola County, Iowa",2611,3.7,2263,117,86.7,2.5,2083,122,79.8,3.0
0500000US19145,"Page County, Iowa",6323,2.3,5411,261,85.6,1.8,4811,275,76.1,2.9
0500000US19147,"Palo Alto County, Iowa",3812,1.3,3306,148,86.7,2.0,2910,151,76.3,2.7
0500000US19149,"Plymouth County, Iowa",10115,3.4,8890,213,87.9,1.7,8290,232,82.0,1.9
0500000US19151,"Pocahontas County, Iowa",3205,2.3,2710,98,84.6,2.5,2422,101,75.6,3.1
0500000US19153,"Polk County, Iowa",183753,3.6,169229,1208,92.1,0.4,153154,1348,83.3,0.5
0500000US19155,"Pottawattamie County, Iowa",36881,3.5,31786,492,86.2,1.0,28173,567,76.4,1.3
0500000US19157,"Poweshiek County, Iowa",7681,2.8,6661,225,86.7,1.6,5882,253,76.6,2.3
0500000US19159,"Ringgold County, Iowa",1997,1.1,1617,101,81.0,3.0,1439,91,72.1,3.4
0500000US19161,"Sac County, Iowa",4367,2.4,3748,125,85.8,1.7,3324,135,76.1,2.3
0500000US19163,"Scott County, Iowa",67025,2.3,57415,882,85.7,1.0,52896,878,78.9,1.0
0500000US19165,"Shelby County, Iowa",5046,3.1,4235,154,83.9,2.2,3814,172,75.6,3.0
0500000US19167,"Sioux County, Iowa",12166,5.1,10935,270,89.9,1.2,10397,267,85.5,1.4
0500000US19169,"Story County, Iowa",37219,0.8,35214,567,94.6,0.8,30026,525,80.7,1.3
0500000US19171,"Tama County, Iowa",6755,4.2,5856,163,86.7,1.6,5013,171,74.2,2.2
0500000US19173,"Taylor County, Iowa",2650,3.9,2167,87,81.8,2.0,1875,106,70.8,3.2
