Case Number,Law Enforcement Case Number,Date of Crash,Y-Coordinate (UTM NAD 83 Zone 15),X-Coordinate (UTM NAD 83 Zone 15),Time,Day of Week,County,Road System,Route,Cardinal Direction of Vehicles,Mainline or Ramp,Overpass/Underpass Information,Derived Literal Description,Road Classification,Intersection Class,Crash Severity,Amount of Property Damage,Major Cause,Drug or Alcohol Related,Driver Age,Driver Age - 5 year Bins,Driver Gender
20191088668,2019000022,20190101,4611901,622024,03:16,Tuesday,Johnson,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,KIRKWOOD AVE & S CLINTON ST,Municipal Road,Municipal - Municipal,Property Damage Only,12500,Driver Distraction:  Other interior distraction,Alcohol (Statutory),31,>= 30 and <= 34,Male
20191088680,20190000001,20190101,4608795,454793,02:36,Tuesday,Polk,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,E DOUGLAS AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,12500,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,31,>= 30 and <= 34,Male
20191088778,19-000002,20190101,4789700,285180,01:30,Tuesday,O'Brien,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,290TH ST,Secondary Road,Not Indicated as an Intersection,Property Damage Only,9731,Operating vehicle in an reckless, erratic, careless, negligent manner,Alcohol (Statutory),28,>= 25 and <= 29,Female
20191088792,20190000029,20190101,4606887,447859,13:54,Tuesday,Polk,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,ALLISON AVE & 6TH AVE,Municipal Road,Municipal - Municipal,Suspected Minor Injury Crash,1800,Driver Distraction:  Exterior distraction,Alcohol (Statutory),60,>= 60 and <= 64,Not reported
20191088807,19000044,20190101,4656361,616416,20:00,Tuesday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,29TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4000,Traveling wrong way or on wrong side of road,Under Influence of Alcohol/Drugs/Medications,40,>= 40 and <= 44,Male
20191088807,19000044,20190101,4656361,616416,20:00,Tuesday,Linn,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,29TH AVE,Municipal Road,Not Indicated as an Intersection,Property Damage Only,4000,Traveling wrong way or on wrong side of road,Under Influence of Alcohol/Drugs/Medications,53,>= 50 and <= 54,Male
20191088811,20190000055,20190101,4601384,450225,21:25,Tuesday,Polk,US Route,69,Southbound (SB),Mainline,Not reported,US 69/SE 14TH ST & E BELL AVE,US Route,US Route - Municipal,Property Damage Only,4000,Lost control,Alcohol (Statutory),28,>= 25 and <= 29,Male
20191088904,19-00008,20190101,4664223,641612,03:30,Tuesday,Jones,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd X31/CO RD X-31,Secondary Road,Not Indicated as an Intersection,Suspected Minor Injury Crash,15000,Driving too fast for conditions,Under Influence of Alcohol/Drugs/Medications,38,>= 35 and <= 39,Male
20191088912,1900005PD,20190101,4655361,428434,02:13,Tuesday,Boone,Local Road,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,S JACKSON ST,Municipal Road,Not Indicated as an Intersection,Property Damage Only,5000,Operating vehicle in an reckless, erratic, careless, negligent manner,Refused,31,>= 30 and <= 34,Female
20191089043,201900030,20190102,4661581,606097,20:08,Wednesday,Linn,Farm to Market Route,9999,Unknown - Not Indicated - Unlocated,Mainline,Not reported,Co Rd E34/TODDVILLE RD/FRONT ST & OTTER RD,Secondary Road,Secondary - Secondary,Possible/Unknown Injury Crash,15000,Ran stop sign,Alcohol (Statutory),27,>= 25 and <= 29,Male
